trunc_time,open_price,high_price,low_price,close_price,volume
2022-02-18,33600,33800,33200,33350,18494900
2022-02-21,33350,33550,32800,33200,21150600
2022-02-22,32900,33700,32800,33700,24415700
2022-02-23,33900,33950,33600,33600,13866100
2022-02-24,33400,33700,32000,32900,30479000
2022-02-25,33100,33550,32900,33000,17789600
2022-02-28,33000,33350,32800,32850,16458800
2022-03-01,33000,33000,32650,32650,16919600
2022-03-02,32500,32550,31100,31250,45276000
2022-03-03,31550,31900,31100,31850,19790900
2022-03-04,31850,32550,31500,32000,13257500
2022-03-07,31200,32000,31200,31500,16727500
2022-03-08,31050,31650,30650,30850,16477900
2022-03-09,31000,31300,30500,31100,14911000
2022-03-10,31750,32000,31550,31550,12219700
2022-03-11,31400,32450,31300,32050,15987700
2022-03-14,32050,32600,31850,32500,20978200
2022-03-15,32500,33150,32350,32700,17471800
2022-03-16,32800,32950,32550,32900,11148500
2022-03-17,33000,33150,32650,32800,10884800
2022-03-18,32800,33250,32550,33100,26734000
2022-03-21,33100,33450,32800,33100,12852100
2022-03-22,33350,34200,33350,34050,24584000
2022-03-23,34000,34300,33650,34000,15498400
2022-03-24,34000,34050,33600,33650,9921600
2022-03-25,33600,34000,33600,33650,11344100
2022-03-28,33500,33550,31800,31850,36749100
2022-03-29,32100,32350,31750,32300,12694700
2022-03-30,31950,32650,31500,32250,15931800
2022-03-31,32100,32450,31700,31700,9023400
2022-04-01,31650,32250,31550,32200,9156000
2022-04-04,32500,32700,32150,32200,10191000
2022-04-05,32050,32300,31800,31800,8729900
2022-04-06,31800,32600,31550,32350,12151500
2022-04-07,32400,32900,31750,31900,11478600
2022-04-08,31900,31950,30900,31000,18745300
2022-04-12,31150,31450,30500,30800,9624800
2022-04-13,31000,31500,30700,31350,6924200
2022-04-14,31350,31500,30750,30800,6467600
2022-04-15,30700,31000,30100,30100,10461600
2022-04-18,30100,30200,29000,29000,14856200
2022-04-19,29100,29400,27500,27500,15852000
2022-04-20,27800,28200,27450,27550,12024300
2022-04-21,27400,28350,27100,27650,9902300
