trunc_time,open_price,high_price,low_price,close_price,volume
2019-12-16,3990,4000,3880,3960,2119520
2019-12-17,3960,4100,3950,4030,2837480
2019-12-18,4080,4100,3990,4040,1106450
2019-12-19,3910,4020,3910,3950,649460
2019-12-20,3930,3970,3900,3960,1218120
2019-12-23,3960,4030,3930,4000,1684080
2019-12-24,4000,4010,3950,4010,1314270
2019-12-25,4010,4010,3960,3960,938470
2019-12-26,3950,4180,3950,4080,3835310
2019-12-27,4080,4170,4010,4050,1162190
2019-12-30,4080,4080,3980,4020,1301090
2019-12-31,4010,4010,3900,3980,1628300
2020-01-02,3960,4050,3960,4050,1101390
2020-01-03,4070,4190,4050,4150,3756690
2020-01-06,4150,4150,4030,4090,1454140
2020-01-07,4020,4110,4020,4110,1432510
2020-01-08,4060,4080,3910,3910,2566730
2020-01-09,3990,4100,3960,4100,1322450
2020-01-10,4100,4110,4030,4080,1009540
2020-01-13,4090,4100,3980,4000,1173520
2020-01-14,4010,4030,3930,3940,1222410
2020-01-15,3940,3990,3900,3900,1207280
2020-01-16,3930,3950,3780,3840,1950740
2020-01-17,3850,3910,3840,3880,852640
2020-01-20,3840,3880,3840,3860,470690
2020-01-21,3860,3990,3860,3920,800990
2020-01-22,4020,4020,3950,3980,1111180
2020-01-30,3990,3990,3870,3900,2008040
2020-01-31,3860,3860,3640,3640,3002000
2020-02-03,3390,3560,3390,3390,4432890
2020-02-04,3400,3410,3200,3270,2530200
2020-02-05,3270,3400,3170,3300,1285410
2020-02-06,3300,3530,3300,3530,3102020
2020-02-07,3590,3650,3530,3550,1286950
2020-02-10,3500,3550,3430,3440,791000
2020-02-11,3440,3470,3430,3450,781430
2020-02-12,3500,3610,3460,3580,1518950
2020-02-13,3570,3580,3490,3500,1299930
2020-02-14,3500,3540,3470,3490,915700
2020-02-17,3500,3510,3470,3480,853280
2020-02-18,3490,3500,3470,3500,979480
2020-02-19,3500,3550,3500,3510,1022830
2020-02-20,3520,3550,3490,3490,1080760
2020-02-21,3490,3500,3420,3440,1359550
2020-02-24,3400,3400,3200,3200,4276830
2020-02-25,3150,3350,3120,3350,2673010
2020-02-26,3300,3300,3250,3260,1070130
2020-02-27,3230,3400,3230,3330,1519970
2020-02-28,3270,3310,3230,3270,1885160
2020-03-02,3260,3300,3260,3270,1185440
2020-03-03,3300,3350,3300,3310,1644240
2020-03-04,3330,3540,3290,3520,6200000
2020-03-05,3540,3600,3470,3480,2057860
2020-03-06,3420,3500,3420,3490,1275010
2020-03-09,3250,3450,3250,3250,3462110
2020-03-10,3100,3350,3100,3260,2074180
2020-03-11,3370,3370,3150,3180,3343620
2020-03-12,3110,3130,2970,3100,6904540
2020-03-13,3010,3100,2980,3090,6240590
2020-03-16,3090,3100,3000,3030,1558100
2020-03-17,3000,3030,2980,3020,2535800
2020-03-18,3080,3120,3030,3030,2425580
2020-03-19,3030,3030,2910,2980,2820690
2020-03-20,2930,2990,2930,2940,883780
2020-03-23,2880,2900,2740,2740,5117500
2020-03-24,2740,2740,2600,2720,2849490
2020-03-25,2750,2780,2690,2710,2012740
2020-03-26,2730,2780,2660,2680,2127350
2020-03-27,2680,2700,2600,2660,4166160
2020-03-30,2550,2650,2480,2550,3622610
2020-03-31,2550,2630,2400,2550,2582740
2020-04-01,2450,2700,2450,2690,2050100
2020-04-03,2710,2830,2710,2810,2116160
2020-04-06,2900,3000,2820,3000,4506840
2020-04-07,3120,3130,2980,3100,4339060
2020-04-08,3150,3200,2980,3200,3668370
2020-04-09,3220,3250,3150,3200,3068640
2020-04-10,3190,3200,3120,3140,4432550
2020-04-13,3140,3150,3030,3130,2976440
2020-04-14,3100,3140,3040,3070,2090410
2020-04-15,3070,3190,3060,3110,3224410
2020-04-16,3100,3190,3100,3170,1895280
2020-04-17,3160,3200,3160,3170,2246120
2020-04-20,3200,3250,3170,3170,4678320
2020-04-21,3110,3170,3070,3120,4872060
2020-04-22,3090,3170,3090,3120,1387350
2020-04-23,3120,3190,3120,3160,1456560
2020-04-24,3160,3380,3130,3380,11271290
2020-04-27,3590,3600,3460,3500,4283020
2020-04-28,3470,3690,3420,3640,2885270
2020-04-29,3560,3680,3540,3600,4366310
2020-05-04,3570,3600,3400,3400,5100170
2020-05-05,3400,3490,3390,3460,1735800
2020-05-06,3500,3570,3450,3540,1711130
2020-05-07,3540,3610,3500,3550,1944360
2020-05-08,3600,3600,3500,3520,5525600
2020-05-11,3520,3760,3510,3760,4426970
2020-05-12,3910,3960,3720,3850,5671790
2020-05-13,3830,3930,3780,3860,3320990
2020-05-14,3800,3880,3770,3800,4191140
2020-05-15,3900,3940,3810,3880,3910060
2020-05-18,3880,3910,3850,3860,1673830
2020-05-19,3910,3920,3850,3890,4019220
2020-05-20,3900,4160,3870,4160,7287380
2020-05-21,4200,4350,4130,4140,3774280
2020-05-22,4130,4240,4070,4150,3159530
2020-05-25,4150,4190,4100,4160,2018710
2020-05-26,4170,4310,4160,4230,3518040
2020-05-27,4230,4300,4140,4170,4777660
2020-05-28,4170,4270,4170,4270,4346920
2020-05-29,4260,4560,4230,4560,8186470
2020-06-01,4790,4870,4660,4870,3520900
2020-06-02,5210,5210,4800,4800,18993150
2020-06-03,4800,5000,4650,4750,7849210
2020-06-04,4750,5080,4730,5080,11393350
2020-06-05,5100,5420,4980,5420,9676400
2020-06-08,5500,5760,5480,5750,11774510
2020-06-09,5730,5820,5500,5650,12715070
2020-06-10,5540,6000,5460,5800,12233960
2020-06-11,5850,5850,5400,5400,11594420
2020-06-12,5030,5360,5030,5200,11657830
2020-06-15,5300,5310,4850,4900,9362250
2020-06-16,5000,5200,4990,5190,5399240
2020-06-17,5230,5230,4990,5090,3570780
2020-06-18,5000,5060,4940,4970,3830320
2020-06-19,4930,5310,4930,5230,7301580
2020-06-22,5190,5380,5190,5190,3852740
2020-06-23,5200,5350,5190,5300,5890640
2020-06-24,5280,5350,5170,5220,6303690
2020-06-25,5150,5200,5080,5200,2794120
2020-06-26,5250,5320,5100,5110,4018230
2020-06-29,5120,5380,5050,5200,6805580
2020-06-30,5300,5300,5040,5200,3991840
2020-07-01,5230,5270,5160,5230,2452040
2020-07-02,5230,5260,5170,5230,2706180
2020-07-03,5250,5250,5200,5200,2200190
2020-07-06,5200,5210,5100,5150,3350470
2020-07-07,5110,5170,4900,5020,6386340
2020-07-08,4990,5060,4950,5000,3471690
2020-07-09,5000,5100,4990,5000,4259110
