trunc_time,close_price,ma_5,Predictions,Stock,Model,Method
2016-10-11,9250,9339.598276036693,,STB,DIY,MV
2016-10-12,9220,9279.799138018347,,STB,DIY,MV
2016-10-13,9200,9239.899569009172,,STB,DIY,MV
2016-10-14,9210,9224.949784504586,,STB,DIY,MV
2016-10-17,9220,9222.474892252292,,STB,DIY,MV
2016-10-18,9240,9231.237446126146,,STB,DIY,MV
2016-10-19,9480,9355.618723063073,,STB,DIY,MV
2016-10-20,9320,9337.809361531537,,STB,DIY,MV
2016-10-21,9250,9293.904680765769,,STB,DIY,MV
2016-10-24,9200,9246.952340382884,,STB,DIY,MV
2016-10-25,9100,9173.476170191443,,STB,DIY,MV
2016-10-26,9020,9096.738085095722,,STB,DIY,MV
2016-10-27,8950,9023.36904254786,,STB,DIY,MV
2016-10-28,8870,8946.68452127393,,STB,DIY,MV
2016-10-31,8820,8883.342260636964,,STB,DIY,MV
2016-11-01,8500,8691.671130318482,,STB,DIY,MV
2016-11-02,8250,8470.835565159241,,STB,DIY,MV
2016-11-03,8240,8355.417782579621,,STB,DIY,MV
2016-11-04,8380,8367.70889128981,,STB,DIY,MV
2016-11-07,8420,8393.854445644905,,STB,DIY,MV
2016-11-08,8430,8411.927222822453,,STB,DIY,MV
2016-11-09,8250,8330.963611411225,,STB,DIY,MV
2016-11-10,8400,8365.481805705613,,STB,DIY,MV
2016-11-11,8240,8302.740902852805,,STB,DIY,MV
2016-11-14,8010,8156.370451426403,,STB,DIY,MV
2016-11-15,8100,8128.185225713201,,STB,DIY,MV
2016-11-16,8100,8114.092612856601,,STB,DIY,MV
2016-11-17,7910,8012.0463064283,,STB,DIY,MV
2016-11-18,7880,7946.02315321415,,STB,DIY,MV
2016-11-21,8300,8123.011576607075,,STB,DIY,MV
2016-11-22,8270,8196.505788303537,,STB,DIY,MV
2016-11-23,8270,8233.252894151768,,STB,DIY,MV
2016-11-24,8220,8226.626447075883,,STB,DIY,MV
2016-11-25,8100,8163.313223537942,,STB,DIY,MV
2016-11-28,7800,7981.656611768971,,STB,DIY,MV
2016-11-29,7800,7890.828305884485,,STB,DIY,MV
2016-11-30,7500,7695.414152942243,,STB,DIY,MV
2016-12-01,7550,7622.707076471122,,STB,DIY,MV
2016-12-02,7740,7681.35353823556,,STB,DIY,MV
2016-12-05,7500,7590.67676911778,,STB,DIY,MV
2016-12-06,7510,7550.3383845588905,,STB,DIY,MV
2016-12-07,7400,7475.169192279445,,STB,DIY,MV
2016-12-08,7910,7692.584596139723,,STB,DIY,MV
2016-12-09,7800,7746.292298069861,,STB,DIY,MV
2016-12-12,7610,7678.14614903493,,STB,DIY,MV
2016-12-13,7620,7649.073074517465,,STB,DIY,MV
2016-12-14,7900,7774.536537258733,,STB,DIY,MV
2016-12-15,8000,7887.2682686293665,,STB,DIY,MV
2016-12-16,8200,8043.634134314683,,STB,DIY,MV
2016-12-19,8420,8231.817067157343,,STB,DIY,MV
2016-12-20,8400,8315.908533578671,,STB,DIY,MV
2016-12-21,8260,8287.954266789337,,STB,DIY,MV
2016-12-22,8200,8243.977133394668,,STB,DIY,MV
